hindi	english
साराटोगा	Saratoga
वृश्चिक	Scorpion
हाथापाई	Scuffle
सीहैवन	Seahaven
श्रीमान् टॉमी	Sir Tommy
सोल	Sol
मकड़ी	Spider
स्पाइडर तीन डेक	Spider Three Decks
मादा मकड़ी	Spiderette
सीधा ऊपर	Straight Up
गलियां और चौबारा	Streets And Alleys
टेम्पलेट	Template
दस आरपार	Ten Across
टेरेस	Terrace
चोर	Thieves
तेरह	Thirteen
अंगूठा और पॉकेट	Thumb And Pouch
ट्रेज	Treize
तिहरी चोटी	Triple Peaks
संघीय चौराहा	Union Square
वेलेंटाइन	Valentine
वेस्ट हैवन	Westhaven
सफेदसिर (व्हाइटहेड) 	Whitehead
विल औ द विस्प	Will O The Wisp
उपज	Yield
युकान	Yukon
जेब्राcard symbol	Zebra
जोकरcard symbol	JOKER
Acard symbol	A
2number	2
3number	3
4number	4
5number	5
6number	6
7number	7
8number	8
9	9
Jcard symbol	J
Qcard symbol	Q
Kcard symbol	K
1number	1
चिड़ी का इक्का	ace of clubs
चिड़ी की दुक्की	two of clubs
चिड़ी की तिक्की	three of clubs
चिड़ी का चौवा	four of clubs
चिड़ी का पंजा	five of clubs
चिड़ी का छक्का	six of clubs
चिड़ी का सत्ता	seven of clubs
चिड़ी का अट्ठा	eight of clubs
चिड़ी का नहला	nine of clubs
चिड़ी का दहला	ten of clubs
चिड़ी का गुलाम	jack of clubs
चिड़ी की बेगम	queen of clubs
चिड़ी का बादशाह	king of clubs
ईंट का इक्का	ace of diamonds
ईंट का दुक्का	two of diamonds
ईंट की तिक्की	three of diamonds
ईंट का चव्वा	four of diamonds
ईंट का पंजा	five of diamonds
ईंट का छक्का	six of diamonds
ईंट का सत्ता	seven of diamonds
ईंट का अट्ठा	eight of diamonds
ईंट का नहला	nine of diamonds
ईंट का दहला	ten of diamonds
ईंट का गुलाम	jack of diamonds
ईंट की बेगम	queen of diamonds
ईंट का बादशाह	king of diamonds
लाल पान का इक्का	ace of hearts
लाल पान का दुक्का	two of hearts
लाल पान की तिक्की	three of hearts
लाल पान का चव्वा	four of hearts
लाल पान का पंजा	five of hearts
लाल पान का छक्का	six of hearts
लाल पान का सत्ता	seven of hearts
लाल पान का अट्ठा	eight of hearts
लाल पान का नहला	nine of hearts
लाल पान का दहला	ten of hearts
लाल पान का गुलाम	jack of hearts
लाल पान की बेगम	queen of hearts
लाल पान का बादशाह	king of hearts
हुकुम का इक्का	ace of spades
हुकुम का दुक्का	two of spades
हुकुम की तिक्की	three of spades
हुकुम का चव्वा	four of spades
हुकुम का पंजा	five of spades
हुकुम का छक्का	six of spades
हुकुम का सत्ता	seven of spades
हुकुम का अट्ठा	eight of spades
हुकुम का नहला	nine of spades
हुकुम का दहला	ten of spades
हुकुम का गुलाम	jack of spades
हुकुम की बेगम	queen of spades
हुकुम का बादशाह	king of spades
अज्ञात पत्ता	face - down card
काला जोकर	black joker
लाल जोकर	red joker
मदद फ़ाइल “% s.% s” नहीं मिली	Help file “% s.% s” not found
“% s” के लिए मदद नहीं दिखा सका	Could not show help for “% s”
क्या विंडो सबसे बड़े आकार का होना चाहिए	Whether the window is maximized
क्या विंडो पूर्ण स्क्रीन है	Whether the window is fullscreen
विंडो चौड़ाई	Window width
विंडो ऊंचाई	Window height
सॉलिटेयर	Solitaire
गनोम सॉलिटेयर	GNOME Solitaire
सॉलिटेयर के बारे में	About Solitaire
खेलने के लिये खेल चुनें	Select the game type to play
नाम	NAME
फ्रीसेल सॉलिटेयर	FreeCell Solitaire
एस्लेरियॉट	AisleRiot
जीताः	Wins:
कुलः	Total:
प्रतिशतः	Percentage:
जीता	Wins
उत्तमः	Best:
सब से बुराः	Worst:
समय% Id% d	Time
% d% d "in this string this to"% Id% d% d%%%%% "(U + 0025 PERCENT SIGN) you do NOT need to escape it with another"% 	% d
% d%% Not ApplicableNot Applicable	% d%%
लागू नहीं	N / A
% d:% 02d	% d:% 02d
बधाई, आप जीत गए! 	Congratulations, you have won!
कोई चाल बाकी नहीं	There are no more moves
मुख्य खेलः	Main game:
ताश के खेलः	Card games:
ताश थीमः	Card themes:
एस्लेरियॉट के बारे में	About AisleRiot
एसलिरियोट एक नियम आधारित सॉलिटेयर कार्ड इंजन देता है जो कई भिन्न खेल खेलने के लिए अनुमति देता है. 	AisleRiot provides a rule - based solitaire card engine that allows many different games to be played.
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) 	translator - credits
ग्नोम खेल वेबसाइट	GNOME Games web site
खेलें “% s”	Play “% s”
कार्ड थीम “% s” के साथ कार्ड दिखाएं	Display cards with “% s” card theme
योजना अपवाद उत्पन्न हुआ	A scheme exception occurred
डेवलेपर को इस बग को रिपोर्ट करें. 	Please report this bug to the developers.
मत रिपोर्ट करें (_ D) 	_ Don 't report
रिपोर्ट करें (_ R) 	_ Report
खेल (_ G) 	_ Game
देखें (_ V) 	_ View
नियंत्रण (_ C) 	_ Control
मदद (_ H) 	_ Help
एक नया खेल प्रारंभ करें	Start a new game
वर्तमान खेल पुनःप्रारंभ करें	Restart the game
खेल चुनें... (_ S) 	_ Select Game…
भिन्न प्रकार खेल खेलें	Play a different game
हाल में खेला गया (_ R) 	_ Recently Played
सांख्यिकी (_ t) 	S _ tatistics
खेल सांख्यिकी दिखायें	Show gameplay statistics
इस विंडो को बन्द करें	Close this window
पिछली चाल पूर्ववत करें	Undo the last move
पिछली चाल पूर्ववत करें	Redo the undone move
अगला कार्ड या कार्ड्स की डील करें	Deal next card or cards
अगली चाल हेतु संकेत प्राप्त करें	Get a hint for your next move
एस्लेरियाट के लिये सहायता देखें	View help for Aisleriot
इस खेल के लिये सहायता दिखायें	View help for this game
इस खेल के बारे में	About this game
ताश प्रसंग इंस्टाल करें... 	Install card themes…
वितरण पैकेज रिपोसिटरीज़ से नए कार्ड गेम प्रसंग संस्थापित करें	Install new card themes from the distribution packages repositories
ताश शैली (_ C) 	_ Card Style
उपकरण-पट्टी (_ T) 	_ Toolbar
उपकरण-पट्टी छुपाएँ या दिखाएँ	Show or hide the toolbar
स्थिति पट्टी (_ S) 	_ Statusbar
उपकरण-पट्टी छुपाएँ या दिखाएँ	Show or hide statusbar
बढ़ने के लिये क्लिक करें (_ C) 	_ Click to Move
क्लिक करके ताश ले या छोड़ें	Pick up and drop cards by clicking
ध्वनि (_ S) 	_ Sound
घटनाओं हेतु ध्वनि बजाएँ या नहीं. 	Whether or not to play event sounds
एनीमेशन (_ A) 	_ Animations
कार्ड चालों में एनीमेशन उपयोग करें या नहीं	Whether or not to animate card moves
अंकः	Score:
समयः	Time:
“% s” खेल आरंभ नहीं कर सका	Cannot start the game “% s”
Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. 	Aisleriot cannot find the last game you played.
यह प्रायः होता है जब आप एसलिरियोट के पुराने संस्करण को चलाते हैं जिसने खेल नहीं खेला है जो आप अंतिम में खेले हैं. मूलभूत खेल, Klondike, बदले में आरंभ हो रहा है. 	This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.
आधार पत्ताः ~ a	Base Card: ~ a
आधार पत्ताः इक्का	Base Card: Ace
आधार पत्ताः जोकर	Base Card: Jack
आधार पत्ताः रानी	Base Card: Queen
आधार पत्ताः बादशाह	Base Card: King
बचा मालः	Stock left:
बचा मालः 0	Stock left: 0
और ताश बांटें	Deal more cards
ताश को फिर से जमाने की कोशिश करें	Try rearranging the cards
अज्ञात रंग	Unknown color
काला जोकर	the black joker
लाल जोकर	the red joker
चिड़ी का इक्का	the ace of clubs
चिड़ी की दुक्की	the two of clubs
चिड़ी की तिक्की	the three of clubs
चिड़ी का चौवा	the four of clubs
चिड़ी का पंजा	the five of clubs
चिड़ी का छक्का	the six of clubs
चिड़ी का सत्ता	the seven of clubs
चिड़ी का अट्ठा	the eight of clubs
चिड़ी का नहला	the nine of clubs
चिड़ी का दहला	the ten of clubs
चिड़ी का गुलाम	the jack of clubs
चिड़ी की बेगम	the queen of clubs
चिड़ी का बादशाह	the king of clubs
अज्ञात पत्ता	the unknown card
हुकुम का इक्का	the ace of spades
हुकुम का दुक्का	the two of spades
हुकुम की तिक्की	the three of spades
हुकुम का चव्वा	the four of spades
हुकुम का पंजा	the five of spades
हुकुम का छक्का	the six of spades
हुकुम का सत्ता	the seven of spades
हुकुम का अट्ठा	the eight of spades
हुकुम का नहला	the nine of spades
हुकुम का दहला	the ten of spades
हुकुम का गुलाम	the jack of spades
हुकुम की बेगम	the queen of spades
हुकुम का बादशाह	the king of spades
लाल पान का इक्का	the ace of hearts
लाल पान का दुक्का	the two of hearts
लाल पान की तिक्की	the three of hearts
लाल पान का चव्वा	the four of hearts
लाल पान का पंजा	the five of hearts
लाल पान का छक्का	the six of hearts
लाल पान का सत्ता	the seven of hearts
लाल पान का अट्ठा	the eight of hearts
लाल पान का नहला	the nine of hearts
लाल पान का दहला	the ten of hearts
लाल पान का गुलाम	the jack of hearts
लाल पान की बेगम	the queen of hearts
लाल पान का बादशाह	the king of hearts
ईंट का इक्का	the ace of diamonds
ईंट का दुक्का	the two of diamonds
ईंट की तिक्की	the three of diamonds
ईंट का चव्वा	the four of diamonds
ईंट का पंजा	the five of diamonds
ईंट का छक्का	the six of diamonds
ईंट का सत्ता	the seven of diamonds
ईंट का अट्ठा	the eight of diamonds
ईंट का नहला	the nine of diamonds
ईंट का दहला	the ten of diamonds
ईंट का गुलाम	the jack of diamonds
ईंट की बेगम	the queen of diamonds
ईंट का बादशाह	the king of diamonds
~ a को एक आधार पर ले जाएँ. 	Move ~ a onto the foundation.
~ a को एक खाली आधार में ले जाएँ. 	Move ~ a onto an empty foundation slot.
~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 	Move ~ a onto the tableau.
~ a को एक खाली तस्वीर खाँचा पर ले जाएँ. 	Move ~ a onto an empty tableau slot.
~ a को एक सुरक्षित खाँचा पर ले जाएँ. 	Move ~ a onto the reserve.
~ a को एक सुरक्षित खाँचा पर ले जाएँ	Move ~ a onto an empty reserve slot.
~ a को एक खाली बढ़त स्लॉट में ले जाएँ. 	Move ~ a onto an empty edge slot.
~ a को एक खाली कोने स्लॉट में ले जाएँ. 	Move ~ a onto an empty corner slot.
~ a को एक खाली शीर्ष स्लॉट में ले जाएँ. 	Move ~ a onto an empty top slot.
~ a को एक खाली नीचे स्लॉट में ले जाएँ. 	Move ~ a onto an empty bottom slot.
~ a को एक खाली बाएं स्लॉट में ले जाएँ. 	Move ~ a onto an empty left slot.
~ a को एक खाली दाएँ स्लॉट में ले जाएँ. 	Move ~ a onto an empty right slot.
~ a को एक खाली स्लॉट में ले जाएँ. 	Move ~ a onto an empty slot.
~ a को काला जोकर पर ले जाएँ. 	Move ~ a onto the black joker.
~ a को लाल जोकर पर ले जाएँ. 	Move ~ a onto the red joker.
~ a को एक क्लब का इक्का पर ले जाएँ	Move ~ a onto the ace of clubs.
~ a को एक क्लब का दोनों पर ले जाएँ	Move ~ a onto the two of clubs.
~ a को एक चिड़ी की तिक्की पर ले जाएँ	Move ~ a onto the three of clubs.
~ a को चिड़ी का चौवा पर ले जाएँ	Move ~ a onto the four of clubs.
~ a को एक चिड़ी का पंजा पर ले जाएँ	Move ~ a onto the five of clubs.
~ a को चिड़ी का छक्का पर ले जाएँ	Move ~ a onto the six of clubs.
~ a को चिड़ी का सत्ता पर ले जाएँ	Move ~ a onto the seven of clubs.
~ a को चिड़ी का अट्ठा पर ले जाएँ	Move ~ a onto the eight of clubs.
~ a को चिड़ी का नहला पर ले जाएँ	Move ~ a onto the nine of clubs.
~ a को चिड़ी का दहला पर ले जाएँ	Move ~ a onto the ten of clubs.
~ a को चिड़ी का गुलाम पर ले जाएँ	Move ~ a onto the jack of clubs.
~ a को चिड़ी की बेगम पर ले जाएँ	Move ~ a onto the queen of clubs.
~ a को चिड़ी का बादशाह पर ले जाएँ	Move ~ a onto the king of clubs.
~ a को अज्ञात पत्ता से बाहर ले जाएँ	Move ~ a onto the unknown card.
~ a को एक हुकुम का इक्का पर ले जाएँ	Move ~ a onto the ace of spades.
~ a को एक हुकुम का दुक्का पर ले जाएँ	Move ~ a onto the two of spades.
~ a को एक हुकुम की तिक्की पर ले जाएँ	Move ~ a onto the three of spades.
~ a को एक हुकुम का चव्वा पर ले जाएँ	Move ~ a onto the four of spades.
~ a को एक हुकुम का पंजा पर ले जाएँ	Move ~ a onto the five of spades.
~ a को एक हुकुम का छक्का पर ले जाएँ	Move ~ a onto the six of spades.
~ a को एक हुकुम का सत्ता पर ले जाएँ	Move ~ a onto the seven of spades.
~ a को एक हुकुम का अट्ठा पर ले जाएँ	Move ~ a onto the eight of spades.
~ a को एक हुकुम का नहला पर ले जाएँ	Move ~ a onto the nine of spades.
~ a को एक हुकुम का दहला पर ले जाएँ	Move ~ a onto the ten of spades.
~ a को एक हुकुम का गुलाम पर ले जाएँ	Move ~ a onto the jack of spades.
~ a को एक हुकुम की बेगम पर ले जाएँ	Move ~ a onto the queen of spades.
~ a को एक हुकुम का बादशाह पर ले जाएँ	Move ~ a onto the king of spades.
~ a को एक लाल पान का इक्का पर ले जाएँ	Move ~ a onto the ace of hearts.
~ a को एक लाल पान का दुक्का पर ले जाएँ	Move ~ a onto the two of hearts.
~ a को एक लाल पान की तिक्की पर ले जाएँ	Move ~ a onto the three of hearts.
~ a को एक लाल पान का चव्वा पर ले जाएँ	Move ~ a onto the four of hearts.
~ a को एक लाल पान का पंजा पर ले जाएँ	Move ~ a onto the five of hearts.
~ a को एक लाल पान का छक्का पर ले जाएँ	Move ~ a onto the six of hearts.
~ a को एक लाल पान का सत्ता पर ले जाएँ	Move ~ a onto the seven of hearts.
~ a को एक लाल पान का अट्ठा पर ले जाएँ	Move ~ a onto the eight of hearts.
~ a को एक लाल पान का नहला पर ले जाएँ	Move ~ a onto the nine of hearts.
~ a को एक लाल पान का दहला पर ले जाएँ	Move ~ a onto the ten of hearts.
~ a को एक लाल पान का गुलाम पर ले जाएँ	Move ~ a onto the jack of hearts.
~ a को एक लाल पान की बेगम पर ले जाएँ	Move ~ a onto the queen of hearts.
~ a को एक लाल पान का बादशाह पर ले जाएँ	Move ~ a onto the king of hearts.
~ a को एक ईंट का इक्का पर ले जाएँ	Move ~ a onto the ace of diamonds.
~ a को एक ईंट का दुक्का पर ले जाएँ	Move ~ a onto the two of diamonds.
~ a को एक ईंट की तिक्की पर ले जाएँ	Move ~ a onto the three of diamonds.
~ a को एक ईंट का चव्वा पर ले जाएँ	Move ~ a onto the four of diamonds.
~ a को एक ईंट का पंजा पर ले जाएँ	Move ~ a onto the five of diamonds.
~ a को एक ईंट का छक्का पर ले जाएँ	Move ~ a onto the six of diamonds.
~ a को एक ईंट का सत्ता पर ले जाएँ	Move ~ a onto the seven of diamonds.
~ a को एक ईंट का अट्ठा पर ले जाएँ	Move ~ a onto the eight of diamonds.
~ a को एक ईंट का नहला पर ले जाएँ. 	Move ~ a onto the nine of diamonds.
~ a को एक ईंट का दहला पर ले जाएँ	Move ~ a onto the ten of diamonds.
~ a को एक ईंट का गुलाम पर ले जाएँ	Move ~ a onto the jack of diamonds.
~ a को एक ईंट की बेगम पर ले जाएँ	Move ~ a onto the queen of diamonds.
~ a को एक ईंट का बादशाह पर ले जाएँ	Move ~ a onto the king of diamonds.
काला जोकर	Remove the black joker.
लाल जोकर	Remove the red joker.
चिड़ी का दहला हटाएँ. 	Remove the ace of clubs.
चिड़ी का दहला हटाएँ. 	Remove the two of clubs.
चिड़ी का दहला हटाएँ. 	Remove the three of clubs.
चिड़ी का दहला हटाएँ. 	Remove the four of clubs.
चिड़ी का दहला हटाएँ. 	Remove the five of clubs.
चिड़ी का बादशाह हटाएँ. 	Remove the six of clubs.
चिड़ी का दहला हटाएँ. 	Remove the seven of clubs.
चिड़ी का बादशाह हटाएँ. 	Remove the eight of clubs.
चिड़ी का बादशाह हटाएँ. 	Remove the nine of clubs.
चिड़ी का दहला हटाएँ. 	Remove the ten of clubs.
चिड़ी का बादशाह हटाएँ. 	Remove the jack of clubs.
चिड़ी का दहला हटाएँ. 	Remove the queen of clubs.
चिड़ी का बादशाह हटाएँ. 	Remove the king of clubs.
अज्ञात पत्ता	Remove the unknown card.
हुकुम का दहला हटाएँ. 	Remove the ace of spades.
हुकुम का दहला हटाएँ. 	Remove the two of spades.
हुकुम का दहला हटाएँ. 	Remove the three of spades.
हुकुम का दहला हटाएँ. 	Remove the four of spades.
हुकुम का दहला हटाएँ. 	Remove the five of spades.
हुकुम का बादशाह हटाएँ. 	Remove the six of spades.
हुकुम का दहला हटाएँ. 	Remove the seven of spades.
हुकुम का बादशाह हटाएँ. 	Remove the eight of spades.
हुकुम का बादशाह हटाएँ. 	Remove the nine of spades.
हुकुम का दहला हटाएँ. 	Remove the ten of spades.
हुकुम का बादशाह हटाएँ. 	Remove the jack of spades.
हुकुम का दहला हटाएँ. 	Remove the queen of spades.
हुकुम का बादशाह हटाएँ. 	Remove the king of spades.
लाल पान का दहला हटाएँ. 	Remove the ace of hearts.
लाल पान का दहला हटाएँ. 	Remove the two of hearts.
लाल पान का दहला हटाएँ. 	Remove the three of hearts.
लाल पान का दहला हटाएँ. 	Remove the four of hearts.
लाल पान का दहला हटाएँ. 	Remove the five of hearts.
लाल पान का बादशाह हटाएँ. 	Remove the six of hearts.
लाल पान का दहला हटाएँ. 	Remove the seven of hearts.
लाल पान का बादशाह हटाएँ. 	Remove the eight of hearts.
लाल पान का बादशाह हटाएँ. 	Remove the nine of hearts.
लाल पान का दहला हटाएँ. 	Remove the ten of hearts.
लाल पान का बादशाह हटाएँ. 	Remove the jack of hearts.
लाल पान का दहला हटाएँ. 	Remove the queen of hearts.
लाल पान का बादशाह हटाएँ. 	Remove the king of hearts.
ईंट का दहला हटाएँ. 	Remove the ace of diamonds.
ईंट का दहला हटाएँ. 	Remove the two of diamonds.
ईंट का दहला हटाएँ. 	Remove the three of diamonds.
ईंट का दहला हटाएँ. 	Remove the four of diamonds.
ईंट का दहला हटाएँ. 	Remove the five of diamonds.
ईंट का बादशाह हटाएँ. 	Remove the six of diamonds.
ईंट का दहला हटाएँ. 	Remove the seven of diamonds.
ईंट का बादशाह हटाएँ. 	Remove the eight of diamonds.
ईंट का बादशाह हटाएँ. 	Remove the nine of diamonds.
ईंट का दहला हटाएँ. 	Remove the ten of diamonds.
ईंट का बादशाह हटाएँ. 	Remove the jack of diamonds.
ईंट का दहला हटाएँ. 	Remove the queen of diamonds.
ईंट का बादशाह हटाएँ. 	Remove the king of diamonds.
तीन पत्ते बांटें	Three card deals
एक दौर और चलें	Deal another round
ताश बांटना बाकीः	Redeals left:
डेक में से नया पत्ता चलें	Deal a new card from the deck
आधार पत्ताः	Base Card:
दाएं बाजू के खाली स्थान पर कुछ ले जाएँ	Move something onto an empty right - hand tableau slot
अतिरिक्त बाकीः	Reserve left:
बेकार को भण्डार में वापस ले जाएँ	Move waste back to stock
आधार पर एक पत्ता ले जाएँ	Move a card to the Foundation
किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ	Move something into the empty Tableau slot
सिर्फ इसलिए कि हापस्काच बोर्ड पारपथ जैसे दिखता है, इसका मतलब यह नहीं कि वह यही है	Just because a crosswalk looks like a hopscotch board doesn 't mean it is one
जब आप सड़क पार करें, तो दोनों तरफ देखें	Look both ways before you cross the street
क्या आपने मदद फ़ाइल पढ़ ली है? 	Have you read the help file?
ओडेसा एक बढ़िया खेल है. सच में. 	Odessa is a better game. Really.
जब तक अत्यधिक आपात् स्थिति न हो, रक्त-बन्ध की सिफारिश नहीं की जाती	Tourniquets are not recommended unless in the direst emergency
लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... 	I could sure use a backrub right about now...
सूर्य किरणें आपको विटामिन डी देती हैं, कम्प्यूटरों के मॉनीटर्स नहीं... 	Monitors won 't give you Vitamin D - - but sunlight will...
यदि आप कभी जंगल में अकेले गुम हो जाएँ, तो किसी पेड़ के आगोश में जाएँ	If you 're ever lost and alone in the woods, hug a tree
मछली पकड़ने के तांत से अपने दांत साफ मत करिए	Fishing wire makes bad dental floss
संगतता ही कुंजी है	Consistency is key
जब व्यवसायी न हो तो हाट और शासक भी वह काम करते हैं	When without a stapler, a staple and a ruler will work
कुत्ते के कान में कभी सीटी नहीं बजाएँ	Never blow in a dog 's ear
शेष ताशः ~ a	Cards remaining: ~ a
फिर बांटें	Redeal.
एक इक्का को आप ढूंढ रहे हैं. 	You are searching for an ace.
एक दुक्की को आप ढूंढ रहे हैं. 	You are searching for a two.
एक तिक्की को आप ढूंढ रहे हैं. 	You are searching for a three.
एक चव्वा को आप ढूंढ रहे हैं. 	You are searching for a four.
एक पंजा को आप ढूंढ रहे हैं. 	You are searching for a five.
एक छक्का को आप ढूंढ रहे हैं. 	You are searching for a six.
एक सत्ता को आप ढूंढ रहे हैं. 	You are searching for a seven.
एक अट्ठा को आप ढूंढ रहे हैं. 	You are searching for an eight.
एक नहला को आप ढूंढ रहे हैं. 	You are searching for a nine.
एक दहला को आप ढूंढ रहे हैं. 	You are searching for a ten.
एक गुलाम को आप ढूंढ रहे हैं. 	You are searching for a jack.
एक बेगम को आप ढूंढ रहे हैं. 	You are searching for a queen.
एक बादशाह को आप ढूंढ रहे हैं. 	You are searching for a king.
अज्ञात मान	Unknown value
एक पत्ता बांटें	Deal a card
खाली तस्वीर खाँचा पर बादशाह को ले जाएँ. 	Move a king onto an empty tableau slot.
कोई संकेत अभी उपलब्ध नहीं है	No hint available right now
खाली बची अतिरिक्त जगह पर कुछ ले जाएँ	Move something on to an empty reserve
छह मूलाधार	Six Foundations
पाँच मूलाधार	Five Foundations
चार मूलाधार	Four Foundations
आधार पर एक पत्ता ले जाएँ. 	Play a card to foundation.
कोई चाल नहीं. 	No moves.
इक्का मिटाएँ	Remove the aces
दुक्की मिटाएँ	Remove the twos
तिक्की मिटाएँ	Remove the threes
चव्वा मिटाएँ	Remove the fours
पंजा मिटाएँ	Remove the fives
छक्का मिटाएँ	Remove the sixes
सत्ता मिटाएँ	Remove the sevens
अट्ठा मिटाएँ	Remove the eights
नहला मिटाएँ	Remove the nines
दहला मिटाएँ	Remove the tens
जोकर मिटाएँ	Remove the jacks
बेगम मिटाएँ	Remove the queens
बादशाह मिटाएँ	Remove the kings
मैं सुनिश्चित नहीं हूं	I 'm not sure
ताश के पत्तों को ढेर में वापस करें	Return cards to stock
किसी वस्तु को खाली तस्वीर खाँचे में ले जाएँ	Move something onto an empty tableau slot.
खाली खाँचा में कुछ ले जाने के बारे में विचार करें	Consider moving something into an empty slot
स्टाक में से पत्ता निकालें	Deal a card from stock
कोई चाल संभव नहीं. वापस लें या फिर शुरू करें	No moves are possible. Undo or start again.
खेल के पास कोई हल नहीं है. वापस ले या फिर शुरू करें. 	The game has no solution. Undo or start again.
फिर बांटने के लिये किसी कार्ड को दो बार क्लिक करें	Double click any card to redeal.
कोई संकेत उपलब्ध नहीं है	No hint available.
पंक्ति ~ a के सबसे बायें के स्लॉट में दो को रखें. 	Place a two in the leftmost slot of row ~ a.
पंक्ति ~ a में श्रृंखला में जोड़ें. 	Add to the sequence in row ~ a.
चिड़ी की दुक्की के बगल में चिड़ी के इक्का को रखें. 	Place the two of clubs next to the ace of clubs.
चिड़ी की तिक्की के बगल में चिड़ी के दुक्की को रखें. 	Place the three of clubs next to the two of clubs.
चिड़ी की चौवा के बगल में चिड़ी के तिक्की को रखें. 	Place the four of clubs next to the three of clubs.
चिड़ी की चौवा के बगल में चिड़ी के पंजा को रखें. 	Place the five of clubs next to the four of clubs.
चिड़ी की छक्का के बगल में चिड़ी के पंजा को रखें. 	Place the six of clubs next to the five of clubs.
चिड़ी की सत्ता के बगल में चिड़ी के छक्का को रखें. 	Place the seven of clubs next to the six of clubs.
चिड़ी की अट्ठा के बगल में चिड़ी के सत्ता को रखें. 	Place the eight of clubs next to the seven of clubs.
चिड़ी की नहला के बगल में चिड़ी के अट्ठा को रखें. 	Place the nine of clubs next to the eight of clubs.
चिड़ी की दहला के बगल में चिड़ी के नहला को रखें. 	Place the ten of clubs next to the nine of clubs.
चिड़ी की चिड़ी के बगल में चिड़ी के दहला को रखें. 	Place the jack of clubs next to the ten of clubs.
चिड़ी की गुलाम के बगल में चिड़ी के दहला को रखें. 	Place the queen of clubs next to the jack of clubs.
चिड़ी की बेगम के बगल में चिड़ी के वादशाह को रखें. 	Place the king of clubs next to the queen of clubs.
हुकुम की दुक्का के बगल में हुकुम के इक्का को रखें. 	Place the two of spades next to the ace of spades.
हुकुम की तिक्की के बगल में हुकुम के दुक्का को रखें. 	Place the three of spades next to the two of spades.
हुकुम की दुक्का के बगल में हुकुम के तिक्की को रखें. 	Place the four of spades next to the three of spades.
हुकुम की पंजा के बगल में हुकुम के चव्वा को रखें. 	Place the five of spades next to the four of spades.
हुकुम की पंजा के बगल में हुकुम के चव्वा को रखें. 	Place the six of spades next to the five of spades.
हुकुम की सत्ता के बगल में हुकुम के छक्का को रखें. 	Place the seven of spades next to the six of spades.
हुकुम की अट्ठा के बगल में हुकुम के सत्ता को रखें. 	Place the eight of spades next to the seven of spades.
हुकुम की नहला के बगल में हुकुम के अट्ठा को रखें. 	Place the nine of spades next to the eight of spades.
हुकुम की दहला के बगल में हुकुम के नहला को रखें. 	Place the ten of spades next to the nine of spades.
हुकुम की गुलाम के बगल में हुकुम के दहला को रखें. 	Place the jack of spades next to the ten of spades.
हुकुम की बेगम के बगल में हुकुम के गुलाम को रखें. 	Place the queen of spades next to the jack of spades.
हुकुम की बेगम के बगल में हुकुम के वादशाह को रखें	Place the king of spades next to the queen of spades.
लाल पान की दुक्का के बगल में लाल पान के इक्का को रखें. 	Place the two of hearts next to the ace of hearts.
लाल पान की तिक्की के बगल में लाल पान के दुक्का को रखें. 	Place the three of hearts next to the two of hearts.
लाल पान की चव्वा के बगल में लाल पान के तिक्की को रखें. 	Place the four of hearts next to the three of hearts.
लाल पान की पंजा के बगल में लाल पान के चव्वा को रखें. 	Place the five of hearts next to the four of hearts.
लाल पान की छक्का के बगल में लाल पान के पंजा को रखें. 	Place the six of hearts next to the five of hearts.
लाल पान की सत्ता के बगल में लाल पान के छक्का को रखें. 	Place the seven of hearts next to the six of hearts.
लाल पान की अट्ठा के बगल में लाल पान के सत्ता को रखें. 	Place the eight of hearts next to the seven of hearts.
लाल पान की नहला के बगल में लाल पान के अट्ठा को रखें. 	Place the nine of hearts next to the eight of hearts.
लाल पान की दहला के बगल में लाल पान के नहला को रखें. 	Place the ten of hearts next to the nine of hearts.
लाल पान की गुलाम के बगल में लाल पान के दहला को रखें. 	Place the jack of hearts next to the ten of hearts.
लाल पान की बेगम के बगल में लाल पान के गुलाम को रखें. 	Place the queen of hearts next to the jack of hearts.
लाल पान की बेगम के बगल में लाल पान के वादशाह को रखें. 	Place the king of hearts next to the queen of hearts.
ईंट का दुक्का के बगल में ईंट का इक्का को रखें. 	Place the two of diamonds next to the ace of diamonds.
ईंट का तिक्की के बगल में ईंट का दुक्का को रखें. 	Place the three of diamonds next to the two of diamonds.
ईंट का चव्वा के बगल में ईंट का तिक्की को रखें. 	Place the four of diamonds next to the three of diamonds.
ईंट का पंजा के बगल में ईंट का छक्का को रखें. 	Place the five of diamonds next to the four of diamonds.
ईंट का छक्का के बगल में ईंट का पंजा को रखें. 	Place the six of diamonds next to the five of diamonds.
ईंट का सत्ता के बगल में ईंट का छक्का को रखें. 	Place the seven of diamonds next to the six of diamonds.
ईंट का अट्ठा के बगल में ईंट का सत्ता को रखें. 	Place the eight of diamonds next to the seven of diamonds.
ईंट का नहला के बगल में ईंट का अट्ठा को रखें. 	Place the nine of diamonds next to the eight of diamonds.
